Construct;PercentHead;Time
GFP;99,9936;4
GFP;92,7884;4
GFP;93,858;4
GFP;98,7245;4
GFP;91,8369;4
GFP;99,9944;4
GFP;99,5232;4
GFP;99,1156;4
GFP;97,325;4
GFP;90,9849;4
GFP;98,4754;4
GFP;99,2715;4
GFP;94,6041;4
GFP;95,6958;4
GFP;99,6225;4
GFP;99,995;4
GFP;99,9958;4
GFP;93,5461;4
GFP;98,3996;4
GFP;95,4193;4
GFP;93,9091;4
GFP;98,5103;4
GFP;99,328;4
GFP;99,0143;4
GFP;98,8977;4
GFP;99,8462;4
GFP;99,9947;4
GFP;96,4088;4
GFP;91,2286;4
GFP;91,2267;4
GFP;97,1571;4
GFP;96,8677;4
GFP;84,2614;4
GFP;99,9992;4
GFP;95,1869;4
GFP;99,993;4
GFP;99,7333;4
GFP;99,9906;4
GFP;95,4109;4
GFP;99,9961;4
GFP;95,6545;4
GFP;98,7067;4
GFP;98,8387;4
GFP;96,8965;4
GFP;99,342;4
GFP;97,8037;4
GFP;99,9947;4
GFP;97,6635;4
GFP;98,0785;4
GFP;99,8067;4
GFP;93,0607;4
GFP;98,219;4
GFP;95,3224;4
GFP;98,9464;4
GFP;99,9709;4
GFP;95,5979;4
GFP;95,7795;4
GFP;99,2353;4
GFP;98,9013;4
GFP;99,0439;4
GFP;97,0482;4
GFP;96,5952;4
GFP;98,4613;4
GFP;99,8985;4
GFP;99,8038;4
GFP;98,7094;4
GFP;99,4423;4
GFP;98,6733;4
GFP;92,1306;4
GFP;90,0281;4
GFP;94,5987;4
GFP;98,8087;4
GFP;95,671;4
GFP;99,1762;4
GFP;94,2794;4
GFP;99,9962;4
GFP;99,2563;4
GFP;99,2461;4
GFP;94,7733;4
GFP;99,2703;4
GFP;97,342;4
GFP;95,8785;4
GFP;99,3548;4
GFP;99,9965;4
GFP;96,526;4
GFP;95,5928;4
GFP;95,9572;4
GFP;98,0147;4
GFP;96,6292;4
GFP;93,3012;4
GFP;98,8083;4
GFP;96,7996;4
GFP;96,3829;4
GFP;97,8139;4
GFP;95,2674;4
GFP;94,1996;4
GFP;94,4673;4
GFP;92,8479;4
GFP;97,6675;4
GFP;99,5899;4
GFP;99,9917;4
GFP;99,9959;4
GFP;97,4995;4
GFP;93,8457;4
GFP;95,5516;4
GFP;95,1002;4
GFP;95,5371;4
GFP;97,684;4
GFP;94,3739;4
GFP;99,9968;4
GFP;97,5389;4
GFP;99,0599;4
GFP;98,8126;4
GFP;99,6898;4
GFP;93,5045;4
GFP;84,8379;4
GFP;86,9443;4
GFP;98,3248;4
GFP;95,8805;4
GFP;95,3831;4
GFP;97,942;4
GFP;97,9339;4
GFP;93,7271;4
GFP;96,7133;4
GFP;93,481;4
GFP;92,8046;4
GFP;98,2078;4
GFP;96,9191;4
GFP;83,7645;4
GFP;97,2532;4
GFP;99,5885;4
GFP;97,0845;4
GFP;99,3151;4
GFP;96,3193;4
GFP;94,6049;4
GFP;95,4382;4
GFP;90,311;4
GFP;91,11;4
GFP;99,105;4
GFP;96,6594;4
GFP;99,8353;4
GFP;98,6966;4
GFP;97,5936;4
GFP;97,9814;4
GFP;96,9594;4
GFP;98,9316;4
GFP;91,1405;4
GFP;98,2918;4
GFP;92,1961;4
GFP;94,8515;4
GFP;97,3599;4
GFP;99,8469;4
GFP;99,5949;4
GFP;96,4869;4
GFP;95,2758;4
GFP;98,149;4
GFP;92,2876;4
GFP;97,199;4
GFP;96,6676;4
GFP;95,3635;4
GFP;94,6814;4
GFP;95,3489;4
GFP;94,2324;4
GFP;93,4044;4
GFP;94,2467;4
GFP;93,8893;4
GFP;99,4664;4
GFP;97,611;4
GFP;85,9502;4
GFP;72,353;4
GFP;89,1801;4
GFP;77,9084;4
GFP;90,8343;4
GFP;83,7211;4
GFP;86,95;4
GFP;90,7315;4
GFP;81,8062;4
GFP;80,3975;4
GFP;91,4911;4
GFP;78,6315;4
GFP;86,5848;4
GFP;84,7606;4
GFP;85,0546;4
GFP;91,6868;4
GFP;83,7331;4
GFP;87,905;4
GFP;86,5283;4
GFP;85,0719;4
GFP;93,6911;4
GFP;85,1938;4
GFP;90,9313;4
GFP;87,8436;4
GFP;98,6796;4
GFP;99,2943;4
GFP;99,5031;4
GFP;99,5469;4
GFP;99,9931;4
GFP;95,8483;4
GFP;97,7962;4
GFP;87,7854;4
GFP;98,8983;4
GFP;98,676;4
GFP;96,8321;4
GFP;93,3136;4
GFP;99,9814;4
GFP;87,2593;4
GFP;87,4057;4
GFP;94,7057;4
GFP;97,7408;4
GFP;99,0642;4
GFP;95,1115;4
GFP;96,2226;4
GFP;88,6301;4
GFP;89,0081;4
GFP;94,9222;4
GFP;89,2572;4
GFP;99,6491;4
GFP;93,0427;4
GFP;93,1984;4
GFP;95,092;4
GFP;95,0467;4
GFP;87,4768;4
GFP;99,9789;4
GFP;90,8381;4
GFP;92,2254;4
GFP;91,0708;4
GFP;95,2207;4
GFP;77,886;4
GFP;98,541;4
GFP;90,1256;4
GFP;80,7268;4
GFP;77,6267;4
GFP;89,1389;4
GFP;95,1283;4
GFP;90,8694;4
GFP;94,1441;4
GFP;93,9511;4
GFP;85,6089;4
GFP;96,3994;4
GFP;95,6995;4
GFP;95,0402;4
GFP;93,9091;4
GFP;96,1601;4
