Construct;Time;Autofluorescence;Experiment
CP106;5;1,778774752;1
CP106;5;1,393007836;1
CP106;5;1,335455124;1
CP106;5;2,150229358;1
CP106;5;2,008297258;1
CP106;5;2,308882369;1
CP106;5;1,465600406;1
CP106;5;0,924931756;1
CP106;5;0,880060423;1
CP106;5;1,118526623;1
CP106;5;0,840034513;1
CP106;5;0,86404472;1
CP106;5;1,015167931;1
CP106;5;0,996643591;1
CP106;5;0,923493045;1
CP106;5;1,406979664;1
CP106;5;0,986580934;1
CP106;5;1,095080296;1
CP106;5;1,195444915;1
CP106;5;0,803886926;1
CP106;5;1,147261146;1
CP106;5;1,210188679;1
CP106;5;1,21673138;1
CP105;5;1,21063061;2
CP105;5;1,059235039;2
CP105;5;1,03773427;2
CP105;5;0,959020526;2
CP105;5;1,085128451;2
CP105;5;0,914181258;2
CP105;5;0,948900822;2
CP105;5;0,941169115;2
CP105;5;0,903568249;2
CP105;5;0,96748676;2
CP105;5;0,911664779;2
CP105;5;0,823785502;2
CP105;5;0,944332182;2
CP105;5;0,883448452;2
CP105;5;0,980390555;2
CP105;5;1,135595568;2
CP105;5;0,993413327;2
CP105;5;0,920611144;2
CP105;5;0,984755811;2
CP105;5;0,948363586;2
CP105;5;0,878610775;2
CP105;5;0,943950786;2
CP105;5;0,956860707;2
CP105;5;0,915558649;2
CP105;5;0,960993636;2
CP105;5;0,970793019;2
CP105;5;0,885238262;2
CP105;5;0,99702191;2
CP105;5;1,007607524;2
CP105;5;0,966955728;2
CP105;5;0,966102661;2
CP105;5;1,000819784;2
CP105;5;0,917414078;2
CP105;5;0,907723743;2
CP105;5;0,927548324;2
CP105;5;0,84746801;2
CP105;5;0,89857239;2
CP105;5;0,804084084;2
CP105;5;0,868117798;2
CP105;5;0,858927577;2
CP105;5;0,846679118;2
CP105;5;1,061968741;2
CP105;5;0,955552616;2
CP105;5;1,034724022;2
CP105;5;1,041581767;2
CP105;5;0,979868151;2
CP105;5;0,920465009;2
CP106;5;0,806800071;2
CP106;5;0,903381248;2
CP106;5;0,766517952;2
CP106;5;0,817459539;2
CP106;5;0,844158613;2
CP106;5;0,925078793;2
CP106;5;0,742450073;2
CP106;5;0,807266822;2
CP106;5;0,929200828;2
CP106;5;0,789606792;2
CP106;5;0,730809219;2
CP106;5;0,810636183;2
CP106;5;0,686002112;2
CP106;5;0,8825865;2
CP106;5;0,821149392;2
CP106;5;1,113221329;2
CP106;5;0,93461434;2
CP106;5;0,828977972;2
CP106;5;1,317741129;2
CP106;5;1,12435127;2
